|Where     |What                                                                                                                                                                                                                                                         |When                 |Country                                                                      |
|----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------|--------------------------------------------------------------------------|
|Espoo     |[OSM kahvit Espoo](https://wiki.openstreetmap.org/wiki/Fi:OSM%20Kahvit)                                                                                                                                                                                      |17.11.2016           |![finland](http://blog.openstreetmap.de/wp-uploads//2016/02/fi.svg)       |
|Helsinki  |[OSM GeoBeers](https://www.facebook.com/events/591689511017587/)                                                                                                                                                                                             |17.11.2016           |![finland](http://blog.openstreetmap.de/wp-uploads//2016/02/fi.svg)       |
|Ottawa    |[OSM Founder Steve Coast](https://www.meetup.com/openstreetmap-ottawa/events/235163829/)                                                                                                                                                                     |17.11.2016           |![canada](http://blog.openstreetmap.de/wp-uploads//2016/01/ca.svg)        |
|Urspring  |[Stammtisch Ulmer Alb](https://wiki.openstreetmap.org/wiki/UlmerAlb)                                                                                                                                                                                         |17.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Heidelberg|[OSM Geoweek Mapathon](https://wiki.openstreetmap.org/wiki/DE:Disastermappers_Heidelberg#Termine)                                                                                                                                                            |17.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Colorado  |[Geoweek Mapathon](http://www.meetup.com/OSM-Colorado/events/235112641/) [Colorado State University](http://www.colostate.edu/), [Fort Collins](https://wiki.openstreetmap.org/wiki/Fort%20Collins,%20Colorado)                                              |17.11.2016           |![us](http://blog.openstreetmap.de/wp-uploads//2016/01/us.svg)            |
|California|UC Davis Humanitarian Mapathon [http://spatial.ucdavis.edu/humanitarian-mapathon/](http://spatial.ucdavis.edu/humanitarian-mapathon/) [Davis](Davis)                                                                                                         |17.11.2016           |![us](http://blog.openstreetmap.de/wp-uploads//2016/01/us.svg)            |
|Tampere   |[OSM kahvit Tampere](https://wiki.openstreetmap.org/wiki/Fi:OSM%20Kahvit)                                                                                                                                                                                    |18.11.2016           |![finland](http://blog.openstreetmap.de/wp-uploads//2016/02/fi.svg)       |
|Bordeaux  |[Missing Maps Diégo-Bordeaux](https://www.eventbrite.fr/e/billets-mapathon-missing-maps-madagascar-bordeaux-diego-suarez-29070892823)                                                                                                                        |18.11.2016           |![france](http://blog.openstreetmap.de/wp-uploads//2016/02/fr.svg)        |
|Milan     |[Mapathon@Polimi](https://www.eventbrite.it/e/biglietti-mapathonpolimi-29159430642), [Politecnico di Milano](http://www.polimi.it/)                                                                                                                          |18.11.2016           |![italy](http://blog.openstreetmap.de/wp-uploads//2016/02/it.svg)         |
|Essen     |[Stammtisch](https://wiki.openstreetmap.org/wiki/Essen/OSM-Treffen)                                                                                                                                                                                          |19.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Chambéry  |[Missing Maps Chambéry-Ouahigouya](https://www.eventbrite.fr/e/billets-missing-maps-chambery-ouahigouya-semaine-de-la-solidarite-internationale-29247692636)                                                                                                 |19.11.2016           |![france](http://blog.openstreetmap.de/wp-uploads//2016/02/fr.svg)        |
|Kyoto     |[諸国・浪漫マッピングパーティー:第3回 松尾大社、地蔵院(Matsuo-taisha Shinto Shrine and Jizoin Buddhist temple)](http://countries-romantic.connpass.com/event/42300/)                                                                                                                  |19.11.2016           |![japan](http://blog.openstreetmap.de/wp-uploads//2016/08/jp.svg)         |
|Tokyo     |[東京！街歩き！マッピングパーティ：第２回 護国寺(Gokokuji Buddhist temple)](https://atnd.org/events/82348)                                                                                                                                                                          |19.11.2016           |![japan](http://blog.openstreetmap.de/wp-uploads//2016/08/jp.svg)         |
|Derby     |[Derby](https://wiki.openstreetmap.org/wiki/Nottingham/Pub%20Meetup)                                                                                                                                                                                         |22.11.2016           |![united kingdom](http://blog.openstreetmap.de/wp-uploads//2016/05/uk.svg)|
|Karlsruhe |[Stammtisch](https://wiki.openstreetmap.org/wiki/Karlsruhe#Nächstes%20Treffen)                                                                                                                                                                               |23.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Lübeck    |[Lübecker Mappertreffen](https://wiki.openstreetmap.org/wiki/Lübecker%20Mappertreffen)                                                                                                                                                                       |24.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Sao Paulo |[State of the Map Latam 2016](https://wiki.openstreetmap.org/wiki/State%20of%20the%20Map%20Latam%202016)                                                                                                                                                     |25.11.2016-27.11.2016|![brazil](http://blog.openstreetmap.de/wp-uploads//2016/03/br.svg)        |
|Trento    |[SAT e OpenStreetMap - Sentieri e Cartografia libera - novità, opportunità e prospettive future](https://wiki.openstreetmap.org/wiki/Trentino/SAT#SAT_e_OpenStreetMap_-_Sentieri_e_Cartografia_libera_-_novit.C3.A0.2C_opportunit.C3.A0_e_prospettive_future)|25.11.2016           |Trentino                                                                  |
|Ala       |[MappAla! party](https://wiki.openstreetmap.org/wiki/File:MappAla_party.pdf)                                                                                                                                                                                 |26.11.2016           |Trentino                                                                  |
|Taipei    |Taipei Meetup, Mozilla Community Space                                                                                                                                                                                                                       |28.11.2016           |![taiwan](http://blog.openstreetmap.de/wp-uploads//2016/05/tw.svg)        |
|Bremen    |[Bremer Mappertreffen](https://wiki.openstreetmap.org/wiki/Bremen/Veranstaltungen)                                                                                                                                                                           |28.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Graz      |[Stammtisch](https://wiki.openstreetmap.org/wiki/Graz/Stammtisch)                                                                                                                                                                                            |28.11.2016           |![austria](http://blog.openstreetmap.de/wp-uploads//2016/02/at.svg)       |
|Rennes    |[Rencontres mensuelles](https://wiki.openstreetmap.org/wiki/Rennes#Cartoparties%20et%20autres%20rencontres)                                                                                                                                                  |29.11.2016           |![france](http://blog.openstreetmap.de/wp-uploads//2016/02/fr.svg)        |
|Colorado  |[OSM Brown Bag Talk](http://www.meetup.com/OSM-Colorado/events/235428388/) [Colorado State University](http://www.colostate.edu/), [Fort Collins](https://wiki.openstreetmap.org/wiki/Fort%20Collins,%20Colorado)                                            |29.11.2016           |![us](http://blog.openstreetmap.de/wp-uploads//2016/01/us.svg)            |
|Viersen   |[OSM Stammtisch Viersen](https://wiki.openstreetmap.org/wiki/Niederrhein/Viersen/Stammtisch)                                                                                                                                                                 |29.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Düsseldorf|[Stammtisch](https://wiki.openstreetmap.org/wiki/Düsseldorf/Stammtisch)                                                                                                                                                                                      |30.11.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Dresden   |[Stammtisch](https://wiki.openstreetmap.org/wiki/Stammtisch%20Dresden)                                                                                                                                                                                       |01.12.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Dortmund  |[Stammtisch](https://wiki.openstreetmap.org/wiki/Mappertreffen%20Dortmund)                                                                                                                                                                                   |04.12.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Rostock   |[OSM Stammtisch Rostock](https://wiki.openstreetmap.org/wiki/Rostocker%20Treffen)                                                                                                                                                                            |06.12.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
|Stuttgart |[Stammtisch](https://wiki.openstreetmap.org/wiki/Stuttgart/Stammtisch)                                                                                                                                                                                       |07.12.2016           |![germany](http://blog.openstreetmap.de/wp-uploads//2016/01/de.svg)       |
